"set_num","set_name","drop_lvl","max_item_lvl","DropsFromMonsters"
2,"Pad Helm",5,15,True
5,"Leather Helm",6,15,True
10,"Vine Helm",6,15,True
0,"Bronze Helm",16,15,True
11,"Silk Helm",16,15,True
4,"Bone Helm",18,15,True
6,"Scale Helm",26,15,True
12,"Wind Helm",28,15,True
39,"Mistery Helm",28,15,True
7,"Sphinx Mask",32,15,True
8,"Brass Helm",36,15,True
13,"Spirit Helm",40,15,True
9,"Plate Helm",46,15,True
25,"Light Plate Mask",46,15,True
3,"Legendary Helm",50,15,True
40,"Red Wing Helm",50,15,True
14,"Guardian Helm",53,15,True
59,"Sacred Helm",54,15,True
1,"Dragon Helm",57,15,True
26,"Adamantine Mask",66,15,True
34,"Ashcrow Helm",67,15,True
35,"Eclipse Helm",67,15,True
36,"Iris Helm",67,15,True
41,"Ancient Helm",68,15,True
60,"Storm Hard Helm",70,15,True
18,"Grand Soul Helm",81,15,True
42,"Black Rose Helm",81,15,True
16,"Black Dragon Helm",82,15,True
19,"Divine Helm",85,15,True
27,"Dark Steel Mask",86,15,True
61,"Piercing Helm",90,15,True
17,"Dark Phoenix Helm",92,15,True
24,"Red Spirit Helm",93,15,True
38,"Glorious Mask",97,15,True
21,"Great Dragon Helm",104,15,True
50,"Faith Helm",104,15,True
28,"Dark Master Mask",106,15,True
46,"Brave Helm",107,15,True
52,"Hades Helm",109,15,True
22,"Dark Soul Helm",110,15,True
43,"Aura Helm",110,15,True
44,"Lilium Helm",110,15,True
45,"Titan Helm",111,15,True
49,"Seraphim Helm",111,15,True
51,"Paewang Mask",111,15,True
30,"Venom Mist Helm",126,15,True
31,"Sylphid Ray Helm",126,15,True
73,"Phoenix Soul Helmet",128,15,True
29,"Dragon Knight Helm",130,15,True
33,"Sunlight Mask",130,15,True
